dtype,err,gf_1024x768x1024,gf_256x256x256,gf_512x512x512,kc,mc,mr,name,nc,nr,omp,prefetch,score,t,unroll
f64,2.932366082577094e-16,32.21,36.15,38.24,256,256,4,gemm_f64_mr4_nr8_kc256_mc256_nc1024_pf4_u1,1024,8,0,4,35.44146657495375,30.2,1
f64,2.932366082577094e-16,32.02,36.87,37.7,256,256,4,gemm_f64_mr4_nr8_kc256_mc256_nc1024_pf0_u2,1024,8,0,0,35.43783279375408,31.1,2
f64,2.932366082577094e-16,31.91,35.14,37.24,256,256,4,gemm_f64_mr4_nr8_kc256_mc256_nc1024_pf4_u2,1024,8,0,4,34.69178957122226,32.0,2
f64,2.932366082577094e-16,31.78,27.54,36.18,256,256,4,gemm_f64_mr4_nr8_kc256_mc256_nc1024_pf0_u4,1024,8,0,0,31.63806596080225,32.9,4
f64,2.932366082577094e-16,32.18,34.86,36.46,256,256,4,gemm_f64_mr4_nr8_kc256_mc256_nc1024_pf4_u4,1024,8,0,4,34.45455717149588,33.8,4
f64,4.994028870330931e-16,34.47,38.21,37.52,64,64,4,gemm_f64_mr4_nr12_kc64_mc64_nc256_pf4_u1,256,12,0,4,36.695789709864236,34.7,1
f64,4.994028870330931e-16,36.61,35.97,38.83,64,64,4,gemm_f64_mr4_nr12_kc64_mc64_nc512_pf4_u1,512,12,0,4,37.11805562471948,35.5,1
f64,4.994028870330931e-16,37.19,39.02,38.65,64,64,4,gemm_f64_mr4_nr12_kc64_mc64_nc1024_pf4_u1,1024,12,0,4,38.278061099374916,36.3,1
f64,4.994028870330931e-16,36.93,39.26,39.54,64,64,4,gemm_f64_mr4_nr12_kc64_mc64_nc2048_pf4_u1,2048,12,0,4,38.56198595571434,37.2,1
f64,4.994028870330931e-16,30.05,38.45,34.9,64,128,4,gemm_f64_mr4_nr12_kc64_mc128_nc256_pf4_u1,256,12,0,4,34.295273777785255,38.1,1
f64,4.994028870330931e-16,24.57,38.58,37.38,64,128,4,gemm_f64_mr4_nr12_kc64_mc128_nc512_pf4_u1,512,12,0,4,32.84677385986802,39.1,1
f64,4.994028870330931e-16,22.06,38.82,37.86,64,128,4,gemm_f64_mr4_nr12_kc64_mc128_nc1024_pf4_u1,1024,12,0,4,31.88633333958851,40.1,1
f64,4.994028870330931e-16,20.98,37.59,36.15,64,128,4,gemm_f64_mr4_nr12_kc64_mc128_nc2048_pf4_u1,2048,12,0,4,30.551025412552526,41.1,1
f64,4.994028870330931e-16,31.09,37.63,36.09,64,256,4,gemm_f64_mr4_nr12_kc64_mc256_nc256_pf4_u1,256,12,0,4,34.81974436180931,42.0,1
f64,4.994028870330931e-16,27.1,20.93,29.42,64,256,4,gemm_f64_mr4_nr12_kc64_mc256_nc512_pf4_u1,512,12,0,4,25.557654986281314,42.9,1
f64,4.994028870330931e-16,22.11,38.79,37.31,64,256,4,gemm_f64_mr4_nr12_kc64_mc256_nc1024_pf4_u1,1024,12,0,4,31.749385014196307,43.9,1
f64,4.994028870330931e-16,21.2,37.94,36.22,64,256,4,gemm_f64_mr4_nr12_kc64_mc256_nc2048_pf4_u1,2048,12,0,4,30.769318558028658,44.9,1
f64,4.994028870330931e-16,31.74,38.51,34.61,64,512,4,gemm_f64_mr4_nr12_kc64_mc512_nc256_pf4_u1,256,12,0,4,34.84522749361036,45.8,1
f64,4.994028870330931e-16,28.97,37.28,34.87,64,512,4,gemm_f64_mr4_nr12_kc64_mc512_nc512_pf4_u1,512,12,0,4,33.51780480272227,46.7,1
f64,4.994028870330931e-16,20.85,37.72,34.72,64,512,4,gemm_f64_mr4_nr12_kc64_mc512_nc1024_pf4_u1,1024,12,0,4,30.1123675105759,47.7,1
f64,4.994028870330931e-16,22.22,39.24,35.36,64,512,4,gemm_f64_mr4_nr12_kc64_mc512_nc2048_pf4_u1,2048,12,0,4,31.357379590935192,48.7,1
f64,2.932366082577094e-16,37.79,39.72,40.9,128,64,4,gemm_f64_mr4_nr12_kc128_mc64_nc256_pf4_u1,256,12,0,4,39.45085249422166,49.5,1
f64,2.932366082577094e-16,39.95,38.98,40.5,128,64,4,gemm_f64_mr4_nr12_kc128_mc64_nc512_pf4_u1,512,12,0,4,39.80476432010555,50.3,1
f64,2.932366082577094e-16,39.78,39.1,41.61,128,64,4,gemm_f64_mr4_nr12_kc128_mc64_nc1024_pf4_u1,1024,12,0,4,40.14819983262696,51.1,1
f64,2.932366082577094e-16,40.0,39.95,41.54,128,64,4,gemm_f64_mr4_nr12_kc128_mc64_nc2048_pf4_u1,2048,12,0,4,40.49049082690845,51.9,1
f64,2.932366082577094e-16,31.39,41.4,37.32,128,128,4,gemm_f64_mr4_nr12_kc128_mc128_nc256_pf4_u1,256,12,0,4,36.469732585795036,52.8,1
f64,2.932366082577094e-16,31.91,38.56,40.83,128,128,4,gemm_f64_mr4_nr12_kc128_mc128_nc512_pf4_u1,512,12,0,4,36.89865157024456,53.6,1
f64,2.932366082577094e-16,30.04,38.83,38.86,128,128,4,gemm_f64_mr4_nr12_kc128_mc128_nc1024_pf4_u1,1024,12,0,4,35.65511915529881,54.5,1
f64,2.932366082577094e-16,31.74,38.63,39.7,128,128,4,gemm_f64_mr4_nr12_kc128_mc128_nc2048_pf4_u1,2048,12,0,4,36.5110946080063,55.4,1
f64,2.932366082577094e-16,32.69,37.89,37.6,128,256,4,gemm_f64_mr4_nr12_kc128_mc256_nc256_pf4_u1,256,12,0,4,35.97719772432,56.2,1
f64,2.932366082577094e-16,34.84,39.37,41.01,128,256,4,gemm_f64_mr4_nr12_kc128_mc256_nc512_pf4_u1,512,12,0,4,38.316745183866416,57.1,1
f64,2.932366082577094e-16,30.89,38.82,40.32,128,256,4,gemm_f64_mr4_nr12_kc128_mc256_nc1024_pf4_u1,1024,12,0,4,36.429238252439475,57.9,1
f64,2.932366082577094e-16,30.69,39.65,39.79,128,256,4,gemm_f64_mr4_nr12_kc128_mc256_nc2048_pf4_u1,2048,12,0,4,36.44806224161989,58.8,1
f64,2.932366082577094e-16,34.37,37.79,36.67,128,512,4,gemm_f64_mr4_nr12_kc128_mc512_nc256_pf4_u1,256,12,0,4,36.24738883395401,59.7,1
f64,2.932366082577094e-16,35.07,38.54,39.83,128,512,4,gemm_f64_mr4_nr12_kc128_mc512_nc512_pf4_u1,512,12,0,4,37.75934056866947,60.5,1
f64,2.932366082577094e-16,32.65,38.78,39.63,128,512,4,gemm_f64_mr4_nr12_kc128_mc512_nc1024_pf4_u1,1024,12,0,4,36.886265908899226,61.4,1
f64,2.932366082577094e-16,29.52,41.34,40.01,128,512,4,gemm_f64_mr4_nr12_kc128_mc512_nc2048_pf4_u1,2048,12,0,4,36.54837701385709,62.2,1
f64,2.932366082577094e-16,40.06,37.45,41.31,192,64,4,gemm_f64_mr4_nr12_kc192_mc64_nc256_pf4_u1,256,12,0,4,39.5749211751934,63.0,1
f64,2.932366082577094e-16,39.68,38.82,41.1,192,64,4,gemm_f64_mr4_nr12_kc192_mc64_nc512_pf4_u1,512,12,0,4,39.85413670795271,63.8,1
f64,2.932366082577094e-16,39.96,26.64,31.88,192,64,4,gemm_f64_mr4_nr12_kc192_mc64_nc1024_pf4_u1,1024,12,0,4,32.37596411239525,64.8,1
f64,2.932366082577094e-16,40.7,37.53,41.44,192,64,4,gemm_f64_mr4_nr12_kc192_mc64_nc2048_pf4_u1,2048,12,0,4,39.854218757816476,65.6,1
f64,2.932366082577094e-16,34.97,41.0,39.59,192,128,4,gemm_f64_mr4_nr12_kc192_mc128_nc256_pf4_u1,256,12,0,4,38.43177397529792,66.4,1
f64,2.932366082577094e-16,33.74,38.67,39.78,192,128,4,gemm_f64_mr4_nr12_kc192_mc128_nc512_pf4_u1,512,12,0,4,37.30333336520881,67.3,1
f64,2.932366082577094e-16,35.48,35.48,32.34,192,128,4,gemm_f64_mr4_nr12_kc192_mc128_nc1024_pf4_u1,1024,12,0,4,34.40217823088329,68.2,1
f64,2.932366082577094e-16,34.52,36.76,37.96,192,128,4,gemm_f64_mr4_nr12_kc192_mc128_nc2048_pf4_u1,2048,12,0,4,36.385631045271225,69.0,1
f64,2.932366082577094e-16,34.72,37.32,39.51,192,256,4,gemm_f64_mr4_nr12_kc192_mc256_nc256_pf4_u1,256,12,0,4,37.13126445010441,69.9,1
f64,2.932366082577094e-16,33.21,37.55,38.81,192,256,4,gemm_f64_mr4_nr12_kc192_mc256_nc512_pf4_u1,512,12,0,4,36.44033543397379,70.7,1
f64,2.932366082577094e-16,35.47,37.98,37.04,192,256,4,gemm_f64_mr4_nr12_kc192_mc256_nc1024_pf4_u1,1024,12,0,4,36.81496500877737,71.5,1
f64,2.932366082577094e-16,35.17,26.16,29.03,192,256,4,gemm_f64_mr4_nr12_kc192_mc256_nc2048_pf4_u1,2048,12,0,4,29.891764695788552,72.5,1
f64,2.932366082577094e-16,34.69,36.72,36.92,192,512,4,gemm_f64_mr4_nr12_kc192_mc512_nc256_pf4_u1,256,12,0,4,36.09823968416365,73.4,1
f64,2.932366082577094e-16,35.92,37.25,37.5,192,512,4,gemm_f64_mr4_nr12_kc192_mc512_nc512_pf4_u1,512,12,0,4,36.88301815502133,74.2,1
f64,2.932366082577094e-16,34.92,37.61,38.84,192,512,4,gemm_f64_mr4_nr12_kc192_mc512_nc1024_pf4_u1,1024,12,0,4,37.08758858866878,75.1,1
f64,2.932366082577094e-16,36.77,37.61,39.08,192,512,4,gemm_f64_mr4_nr12_kc192_mc512_nc2048_pf4_u1,2048,12,0,4,37.808112470187,75.9,1
f64,2.932366082577094e-16,39.15,38.59,40.12,256,64,4,gemm_f64_mr4_nr12_kc256_mc64_nc256_pf4_u1,256,12,0,4,39.28195398276577,76.7,1
f64,2.932366082577094e-16,39.46,38.12,39.69,256,64,4,gemm_f64_mr4_nr12_kc256_mc64_nc512_pf4_u1,512,12,0,4,39.08237450769885,77.6,1
f64,2.932366082577094e-16,39.57,36.42,40.56,256,64,4,gemm_f64_mr4_nr12_kc256_mc64_nc1024_pf4_u1,1024,12,0,4,38.80739927604413,78.4,1
f64,2.932366082577094e-16,40.64,39.4,39.91,256,64,4,gemm_f64_mr4_nr12_kc256_mc64_nc2048_pf4_u1,2048,12,0,4,39.981874154113235,79.3,1
f64,2.932366082577094e-16,35.14,35.77,35.75,256,128,4,gemm_f64_mr4_nr12_kc256_mc128_nc256_pf4_u1,256,12,0,4,35.55435884455153,80.1,1
f64,2.932366082577094e-16,35.99,37.16,40.12,256,128,4,gemm_f64_mr4_nr12_kc256_mc128_nc512_pf4_u1,512,12,0,4,37.71741187346808,80.9,1
f64,2.932366082577094e-16,37.48,25.92,25.59,256,128,4,gemm_f64_mr4_nr12_kc256_mc128_nc1024_pf4_u1,1024,12,0,4,29.183971352184493,81.8,1
f64,2.932366082577094e-16,37.14,37.26,38.83,256,128,4,gemm_f64_mr4_nr12_kc256_mc128_nc2048_pf4_u1,2048,12,0,4,37.73464447081625,82.7,1
f64,2.932366082577094e-16,34.84,36.66,38.02,256,256,4,gemm_f64_mr4_nr12_kc256_mc256_nc256_pf4_u1,256,12,0,4,36.48334307073885,83.6,1
f64,2.932366082577094e-16,33.88,29.01,34.44,256,256,4,gemm_f64_mr4_nr12_kc256_mc256_nc512_pf4_u1,512,12,0,4,32.35229575021675,84.6,1
f64,2.932366082577094e-16,37.08,36.19,39.48,256,256,4,gemm_f64_mr4_nr12_kc256_mc256_nc2048_pf4_u1,2048,12,0,4,37.557141594472,85.4,1
f64,2.932366082577094e-16,36.43,36.2,37.21,256,512,4,gemm_f64_mr4_nr12_kc256_mc512_nc256_pf4_u1,256,12,0,4,36.61088967045922,86.3,1
f64,2.932366082577094e-16,37.43,36.96,37.59,256,512,4,gemm_f64_mr4_nr12_kc256_mc512_nc512_pf4_u1,512,12,0,4,37.32751651025788,87.1,1
f64,2.932366082577094e-16,37.49,34.33,39.37,256,512,4,gemm_f64_mr4_nr12_kc256_mc512_nc1024_pf4_u1,1024,12,0,4,37.00753144913689,88.0,1
f64,2.932366082577094e-16,35.91,36.55,39.11,256,512,4,gemm_f64_mr4_nr12_kc256_mc512_nc2048_pf4_u1,2048,12,0,4,37.16179010545428,88.8,1
f64,2.932366082577094e-16,39.37,39.29,40.36,384,64,4,gemm_f64_mr4_nr12_kc384_mc64_nc256_pf4_u1,256,12,0,4,39.67023702240332,89.7,1
f64,2.932366082577094e-16,40.71,38.52,40.98,384,64,4,gemm_f64_mr4_nr12_kc384_mc64_nc512_pf4_u1,512,12,0,4,40.05579626091936,90.5,1
f64,2.932366082577094e-16,42.44,38.61,41.18,384,64,4,gemm_f64_mr4_nr12_kc384_mc64_nc1024_pf4_u1,1024,12,0,4,40.713015724122144,91.3,1
f64,2.932366082577094e-16,41.15,38.44,41.43,384,64,4,gemm_f64_mr4_nr12_kc384_mc64_nc2048_pf4_u1,2048,12,0,4,40.316570417713926,92.1,1
f64,2.932366082577094e-16,37.11,39.47,37.42,384,128,4,gemm_f64_mr4_nr12_kc384_mc128_nc256_pf4_u1,256,12,0,4,37.98461430665221,92.9,1
f64,2.932366082577094e-16,39.06,37.84,33.79,384,128,4,gemm_f64_mr4_nr12_kc384_mc128_nc512_pf4_u1,512,12,0,4,36.82549498598242,93.7,1
f64,2.932366082577094e-16,38.47,37.0,35.04,384,128,4,gemm_f64_mr4_nr12_kc384_mc128_nc1024_pf4_u1,1024,12,0,4,36.8101451538388,94.6,1
f64,2.932366082577094e-16,37.71,38.22,35.47,384,128,4,gemm_f64_mr4_nr12_kc384_mc128_nc2048_pf4_u1,2048,12,0,4,37.112464045663,95.4,1
f64,2.932366082577094e-16,36.79,37.24,37.35,384,256,4,gemm_f64_mr4_nr12_kc384_mc256_nc256_pf4_u1,256,12,0,4,37.12312869514289,96.2,1
f64,2.932366082577094e-16,39.3,37.63,38.71,384,256,4,gemm_f64_mr4_nr12_kc384_mc256_nc512_pf4_u1,512,12,0,4,38.53991074190993,97.0,1
f64,2.932366082577094e-16,38.07,35.65,27.06,384,256,4,gemm_f64_mr4_nr12_kc384_mc256_nc1024_pf4_u1,1024,12,0,4,33.23843259588691,97.9,1
f64,2.932366082577094e-16,38.62,37.31,39.24,384,256,4,gemm_f64_mr4_nr12_kc384_mc256_nc2048_pf4_u1,2048,12,0,4,38.38234557764225,98.7,1
f64,2.932366082577094e-16,38.66,37.45,38.94,384,512,4,gemm_f64_mr4_nr12_kc384_mc512_nc256_pf4_u1,256,12,0,4,38.344799103131486,99.5,1
f64,2.932366082577094e-16,40.85,40.91,40.32,384,512,4,gemm_f64_mr4_nr12_kc384_mc512_nc512_pf4_u1,512,12,0,4,40.694299759015,100.3,1
f64,2.932366082577094e-16,40.12,38.44,40.37,384,512,4,gemm_f64_mr4_nr12_kc384_mc512_nc1024_pf4_u1,1024,12,0,4,39.63595062751047,101.1,1
f64,2.932366082577094e-16,40.35,41.4,41.31,384,512,4,gemm_f64_mr4_nr12_kc384_mc512_nc2048_pf4_u1,2048,12,0,4,41.01838891617551,101.9,1
f64,2.932366082577094e-16,39.51,40.89,41.59,512,64,4,gemm_f64_mr4_nr12_kc512_mc64_nc256_pf4_u1,256,12,0,4,40.65299924576422,102.7,1
f64,2.932366082577094e-16,39.46,23.17,32.65,512,64,4,gemm_f64_mr4_nr12_kc512_mc64_nc512_pf4_u1,512,12,0,4,31.022507284404824,103.5,1
f64,2.932366082577094e-16,39.71,39.72,40.74,512,64,4,gemm_f64_mr4_nr12_kc512_mc64_nc1024_pf4_u1,1024,12,0,4,40.054860349490106,104.3,1
f64,2.932366082577094e-16,41.79,40.93,42.47,512,64,4,gemm_f64_mr4_nr12_kc512_mc64_nc2048_pf4_u1,2048,12,0,4,41.72342246181115,105.1,1
f64,2.932366082577094e-16,38.13,42.18,41.04,512,128,4,gemm_f64_mr4_nr12_kc512_mc128_nc256_pf4_u1,256,12,0,4,40.41059298556008,106.0,1
f64,2.932366082577094e-16,40.52,39.28,41.4,512,128,4,gemm_f64_mr4_nr12_kc512_mc128_nc512_pf4_u1,512,12,0,4,40.388830248427844,106.8,1
f64,2.932366082577094e-16,38.83,38.57,41.36,512,128,4,gemm_f64_mr4_nr12_kc512_mc128_nc1024_pf4_u1,1024,12,0,4,39.566358290338314,107.6,1
f64,2.932366082577094e-16,39.61,40.2,40.81,512,128,4,gemm_f64_mr4_nr12_kc512_mc128_nc2048_pf4_u1,2048,12,0,4,40.20696335147748,108.4,1
f64,2.932366082577094e-16,37.75,37.95,37.58,512,256,4,gemm_f64_mr4_nr12_kc512_mc256_nc256_pf4_u1,256,12,0,4,37.760034077001364,109.2,1
f64,2.932366082577094e-16,39.46,39.5,40.67,512,256,4,gemm_f64_mr4_nr12_kc512_mc256_nc512_pf4_u1,512,12,0,4,39.87175567377278,110.1,1
f64,2.932366082577094e-16,39.23,31.96,39.73,512,256,4,gemm_f64_mr4_nr12_kc512_mc256_nc1024_pf4_u1,1024,12,0,4,36.79677883034612,110.9,1
f64,2.932366082577094e-16,39.9,39.83,41.12,512,256,4,gemm_f64_mr4_nr12_kc512_mc256_nc2048_pf4_u1,2048,12,0,4,40.279735963134506,111.7,1
f64,2.932366082577094e-16,37.75,35.43,38.87,512,512,4,gemm_f64_mr4_nr12_kc512_mc512_nc256_pf4_u1,256,12,0,4,37.324138355437306,112.5,1
f64,2.932366082577094e-16,38.87,39.71,40.21,512,512,4,gemm_f64_mr4_nr12_kc512_mc512_nc512_pf4_u1,512,12,0,4,39.591812777190334,113.3,1
f64,2.932366082577094e-16,38.76,37.87,42.12,512,512,4,gemm_f64_mr4_nr12_kc512_mc512_nc1024_pf4_u1,1024,12,0,4,39.53868284085526,114.1,1
f64,2.932366082577094e-16,39.42,41.45,41.46,512,512,4,gemm_f64_mr4_nr12_kc512_mc512_nc2048_pf4_u1,2048,12,0,4,40.768140565601335,114.9,1
f64,4.994028870330931e-16,35.31,37.88,38.19,64,64,6,gemm_f64_mr6_nr8_kc64_mc64_nc256_pf4_u1,256,8,0,4,37.103547252311344,115.8,1
f64,4.994028870330931e-16,36.39,38.24,39.46,64,64,6,gemm_f64_mr6_nr8_kc64_mc64_nc512_pf4_u1,512,8,0,4,38.01141301558444,116.6,1
f64,4.994028870330931e-16,36.05,39.69,38.11,64,64,6,gemm_f64_mr6_nr8_kc64_mc64_nc1024_pf4_u1,1024,8,0,4,37.91798423265288,117.4,1
f64,4.994028870330931e-16,37.36,39.71,39.1,64,64,6,gemm_f64_mr6_nr8_kc64_mc64_nc2048_pf4_u1,2048,8,0,4,38.709964419074936,118.2,1
f64,4.994028870330931e-16,31.9,37.97,34.47,64,128,6,gemm_f64_mr6_nr8_kc64_mc128_nc256_pf4_u1,256,8,0,4,34.69287176371514,119.1,1
f64,4.994028870330931e-16,30.38,39.56,38.22,64,128,6,gemm_f64_mr6_nr8_kc64_mc128_nc512_pf4_u1,512,8,0,4,35.81176556176841,120.0,1
f64,4.994028870330931e-16,24.62,39.63,35.63,64,128,6,gemm_f64_mr6_nr8_kc64_mc128_nc1024_pf4_u1,1024,8,0,4,32.63612625157916,121.0,1
f64,4.994028870330931e-16,26.56,40.68,37.78,64,128,6,gemm_f64_mr6_nr8_kc64_mc128_nc2048_pf4_u1,2048,8,0,4,34.42990879996665,121.9,1
f64,4.994028870330931e-16,31.76,38.18,34.86,64,256,6,gemm_f64_mr6_nr8_kc64_mc256_nc256_pf4_u1,256,8,0,4,34.834475490473025,122.8,1
f64,4.994028870330931e-16,29.39,38.75,37.76,64,256,6,gemm_f64_mr6_nr8_kc64_mc256_nc512_pf4_u1,512,8,0,4,35.03770905038698,123.7,1
f64,4.994028870330931e-16,30.75,38.03,35.68,64,256,6,gemm_f64_mr6_nr8_kc64_mc256_nc1024_pf4_u1,1024,8,0,4,34.68367499897639,124.6,1
