dtype,m,k,n,gf_legacy,gf_pack,gf_dot,best
f64,128,512,16,22.63,20.293,32.299,dot
f64,128,512,32,26.036,30.769,37.652,dot
f64,128,256,48,26.973,38.154,32.637,pack
f64,128,256,64,27.276,34.856,36.793,dot
f64,128,256,96,27.278,40.581,39.521,pack
f64,128,256,128,26.963,38.89,39.633,dot
f64,128,256,256,26.776,37.678,38.769,dot
f64,128,256,512,23.437,36.308,32.207,pack
f64,256,512,1,7.01,1.981,5.162,legacy
f64,256,512,4,18.834,8.276,27.76,dot
f64,256,512,10,22.386,20.088,19.759,legacy
f64,256,512,16,24.32,21.9,35.039,dot
f64,256,256,32,24.326,33.469,38.513,dot
f64,256,256,48,25.64,38.993,35.543,pack
f64,256,256,64,24.052,36.714,40.257,dot
f64,256,256,96,27.182,41.847,41.729,pack
f64,256,256,128,23.515,40.589,39.925,pack
f64,256,256,256,26.478,39.448,39.091,pack
f64,256,256,512,22.341,40.031,37.275,pack
f64,512,512,1,6.5,2.06,5.268,legacy
f64,512,512,4,14.635,8.388,19.78,dot
f64,512,256,10,20.634,20.143,18.6,legacy
f64,512,256,16,24.54,20.636,35.049,dot
f64,512,256,32,22.031,31.579,31.628,dot
f64,512,256,48,24.659,38.418,34.386,pack
f64,512,256,64,23.426,35.294,36.392,dot
f64,512,256,96,25.295,39.604,38.37,pack
f64,512,256,128,23.443,39.656,37.341,pack
f64,512,256,256,24.603,41.688,34.168,pack
f64,512,256,512,21.522,40.919,30.983,pack
f64,768,768,768,23.592,40.653,35.292,pack
f64,1024,768,1024,23.481,40.47,41.249,dot
f64,64,3072,768,16.582,32.093,25.301,pack
f64,512,16,512,13.186,39.754,17.246,pack
f64,2048,128,128,20.762,42.0,35.693,pack
f64,32,768,3072,20.26,23.126,27.364,dot
f32,1,512,1,0.346,0.075,0.415,dot
f32,1,512,4,1.198,0.282,1.504,dot
f32,1,512,10,2.305,0.679,3.107,dot
f32,1,512,16,3.215,0.981,4.415,dot
f32,1,512,32,4.75,1.339,5.84,dot
f32,1,512,48,5.376,2.193,6.732,dot
f32,1,512,64,5.959,1.914,7.795,dot
f32,1,512,96,6.345,2.459,8.308,dot
f32,1,512,128,7.195,2.206,8.493,dot
f32,1,512,256,7.292,3.282,9.018,dot
f32,1,512,512,10.338,3.461,9.807,legacy
f32,2,512,1,0.589,0.154,0.789,dot
f32,2,512,4,2.079,0.586,2.647,dot
f32,2,512,10,3.766,1.325,4.903,dot
f32,2,512,16,4.761,2.037,5.567,dot
f32,2,512,32,5.768,2.858,7.247,dot
f32,2,512,48,6.763,4.708,8.313,dot
f32,2,512,64,6.707,3.826,8.338,dot
f32,2,512,96,7.443,5.019,9.074,dot
f32,2,512,128,7.357,5.897,9.169,dot
f32,2,512,256,8.646,7.226,11.946,dot
f32,2,512,512,17.849,6.855,17.519,legacy
f32,4,512,1,1.146,0.301,1.448,dot
f32,4,512,4,3.116,1.156,6.838,dot
f32,4,512,10,7.613,2.583,7.625,dot
f32,4,512,16,5.703,4.063,10.002,dot
f32,4,512,32,7.021,5.387,24.282,dot
f32,4,512,48,7.194,11.747,13.767,dot
f32,4,512,64,7.718,7.804,14.76,dot
f32,4,512,96,7.669,9.933,15.142,dot
f32,4,512,128,10.471,8.855,15.658,dot
f32,4,512,256,15.652,13.713,18.949,dot
f32,4,512,512,19.443,12.795,35.515,dot
f32,8,512,1,2.216,0.445,2.197,legacy
f32,8,512,4,7.148,1.728,6.808,legacy
f32,8,512,10,10.843,4.107,8.066,legacy
f32,8,512,16,12.713,6.249,12.604,legacy
f32,8,512,32,31.504,7.933,27.69,legacy
f32,8,512,48,16.689,12.942,15.134,legacy
f32,8,512,64,17.15,10.964,15.289,legacy
f32,8,512,96,17.82,15.111,15.931,legacy
f32,8,512,128,19.064,22.047,19.9,pack
